game_id,date,arena,game_state,away_team,home_team,away_score,home_score,overtime
2023020290,2023-11-22,Honda Center,OFF,MTL,ANA,4,3,
2023020291,2023-11-22,Ball Arena,OFF,VAN,COL,2,5,
2023020292,2023-11-22,Climate Pledge Arena,OFF,SJS,SEA,1,7,
2023020293,2023-11-24,TD Garden,OFF,DET,BOS,5,2,
2023020294,2023-11-24,Wells Fargo Center,OFF,NYR,PHI,3,1,
2023020295,2023-11-24,United Center,OFF,TOR,CHI,3,4,OT
2023020296,2023-11-24,Prudential Center,OFF,CBJ,NJD,2,1,
2023020297,2023-11-24,Enterprise Center,OFF,NSH,STL,8,3,
2023020298,2023-11-24,Capital One Arena,OFF,EDM,WSH,5,0,
2023020299,2023-11-24,Honda Center,OFF,LAK,ANA,5,2,
2023020300,2023-11-24,SAP Center at San Jose,OFF,MTL,SJS,3,2,SO
2023020301,2023-11-24,KeyBank Center,OFF,PIT,BUF,2,3,
2023020302,2023-11-24,Canadian Tire Centre,LIVE,NYI,OTT,5,3,
2023020303,2023-11-24,PNC Arena,OFF,TBL,CAR,8,2,
2023020305,2023-11-24,American Airlines Center,OFF,CGY,DAL,7,4,
2023020306,2023-11-24,Xcel Energy Center,OFF,COL,MIN,3,2,
2023020307,2023-11-24,Climate Pledge Arena,OFF,VAN,SEA,5,1,
2023020308,2023-11-25,Madison Square Garden,OFF,BOS,NYR,4,7,
2023020309,2023-11-25,Crypto.com Arena,OFF,MTL,LAK,0,4,
2023020310,2023-11-25,Prudential Center,OFF,BUF,NJD,2,7,
2023020311,2023-11-25,PPG Paints Arena,OFF,TOR,PIT,2,3,
2023020313,2023-11-25,Ball Arena,OFF,CGY,COL,1,3,
2023020314,2023-11-25,SAP Center at San Jose,OFF,VAN,SJS,3,4,
2023020315,2023-11-25,T-Mobile Arena,OFF,ARI,VGK,2,0,
2023020316,2023-11-26,Little Caesars Arena,OFF,MIN,DET,1,4,
2023020317,2023-11-26,United Center,OFF,STL,CHI,4,2,
2023020318,2023-11-26,PNC Arena,OFF,CBJ,CAR,2,3,
2023020319,2023-11-26,Bridgestone Arena,OFF,WPG,NSH,2,3,
2023020320,2023-11-26,Rogers Place,OFF,ANA,EDM,2,8,
2023020321,2023-11-27,Nationwide Arena,OFF,BOS,CBJ,2,5,
2023020322,2023-11-27,Madison Square Garden,OFF,BUF,NYR,5,1,
2023020323,2023-11-27,Canadian Tire Centre,OFF,FLA,OTT,5,0,
2023020324,2023-11-27,Ball Arena,OFF,TBL,COL,1,4,
2023020325,2023-11-27,Scotiabank Saddledome,OFF,VGK,CGY,1,2,OT
2023020326,2023-11-27,SAP Center at San Jose,OFF,WSH,SJS,1,2,
2023020327,2023-11-28,Prudential Center,OFF,NYI,NJD,4,5,
2023020329,2023-11-28,Scotiabank Arena,OFF,FLA,TOR,1,2,SO
2023020328,2023-11-28,Wells Fargo Center,OFF,CAR,PHI,4,1,
2023020330,2023-11-28,Xcel Energy Center,OFF,STL,MIN,1,3,
2023020331,2023-11-28,Bridgestone Arena,OFF,PIT,NSH,2,3,OT
2023020332,2023-11-28,Canada Life Centre,OFF,DAL,WPG,2,0,
2023020333,2023-11-28,United Center,OFF,SEA,CHI,3,4,
